jegyzes_nap,piac,termek,tipus,szallitas_kezdete,szallitas_vege,ar
2026-04-27,Villamos,2027. I. negyedév,Zsinór,2027-01-01,2027-03-31,132.5
2026-04-27,Villamos,2027. év,Zsinór,2027-01-01,2027-12-31,113.25
2026-04-27,Villamos,2028. év,Zsinór,2028-01-01,2028-12-31,97.25
2026-04-27,Villamos,2029. év,Zsinór,2029-01-01,2029-12-31,89.0
2026-04-28,Villamos,2026. IV. negyedév,Zsinór,2026-10-01,2026-12-31,140.0
2026-04-28,Villamos,2027. I. negyedév,Zsinór,2027-01-01,2027-03-31,134.3
2026-04-28,Villamos,2027. év,Zsinór,2027-01-01,2027-12-31,114.0
2026-04-28,Villamos,2028. év,Zsinór,2028-01-01,2028-12-31,98.45
2026-04-28,Villamos,2029. év,Zsinór,2029-01-01,2029-12-31,89.05
2026-04-29,Villamos,2026. IV. negyedév,Zsinór,2026-10-01,2026-12-31,139.25
2026-04-29,Villamos,2027. I. negyedév,Zsinór,2027-01-01,2027-03-31,134.5
2026-04-29,Villamos,2027. év,Zsinór,2027-01-01,2027-12-31,113.75
2026-04-29,Villamos,2028. év,Zsinór,2028-01-01,2028-12-31,97.5
2026-04-29,Villamos,2029. év,Zsinór,2029-01-01,2029-12-31,88.25
2026-04-30,Villamos,2026. IV. negyedév,Zsinór,2026-10-01,2026-12-31,141.0
2026-04-30,Villamos,2027. I. negyedév,Zsinór,2027-01-01,2027-03-31,136.5
2026-04-30,Villamos,2027. év,Zsinór,2027-01-01,2027-12-31,115.5
2026-04-30,Villamos,2028. év,Zsinór,2028-01-01,2028-12-31,98.0
2026-04-30,Villamos,2029. év,Zsinór,2029-01-01,2029-12-31,87.5
2026-05-04,Villamos,2026. IV. negyedév,Zsinór,2026-10-01,2026-12-31,142.0
2026-05-04,Villamos,2027. I. negyedév,Zsinór,2027-01-01,2027-03-31,139.75
2026-05-04,Villamos,2027. év,Zsinór,2027-01-01,2027-12-31,115.0
2026-05-04,Villamos,2028. év,Zsinór,2028-01-01,2028-12-31,98.5
2026-05-04,Villamos,2029. év,Zsinór,2029-01-01,2029-12-31,88.25
2026-05-05,Villamos,2026. IV. negyedév,Zsinór,2026-10-01,2026-12-31,146.0
2026-05-05,Villamos,2027. I. negyedév,Zsinór,2027-01-01,2027-03-31,141.35
2026-05-05,Villamos,2027. év,Zsinór,2027-01-01,2027-12-31,116.5
2026-05-05,Villamos,2028. év,Zsinór,2028-01-01,2028-12-31,98.0
2026-05-05,Villamos,2029. év,Zsinór,2029-01-01,2029-12-31,85.75
2026-05-06,Villamos,2026. IV. negyedév,Zsinór,2026-10-01,2026-12-31,136.0
2026-05-06,Villamos,2027. I. negyedév,Zsinór,2027-01-01,2027-03-31,132.0
2026-05-06,Villamos,2027. év,Zsinór,2027-01-01,2027-12-31,112.5
2026-05-06,Villamos,2028. év,Zsinór,2028-01-01,2028-12-31,97.0
2026-05-06,Villamos,2029. év,Zsinór,2029-01-01,2029-12-31,88.0
2026-05-07,Villamos,2026. IV. negyedév,Zsinór,2026-10-01,2026-12-31,138.0
2026-05-07,Villamos,2027. I. negyedév,Zsinór,2027-01-01,2027-03-31,133.5
2026-05-07,Villamos,2027. év,Zsinór,2027-01-01,2027-12-31,113.0
2026-05-07,Villamos,2028. év,Zsinór,2028-01-01,2028-12-31,96.5
2026-05-07,Villamos,2029. év,Zsinór,2029-01-01,2029-12-31,88.75
2026-05-08,Villamos,2026. IV. negyedév,Zsinór,2026-10-01,2026-12-31,140.5
2026-05-08,Villamos,2027. I. negyedév,Zsinór,2027-01-01,2027-03-31,135.0
2026-05-08,Villamos,2027. év,Zsinór,2027-01-01,2027-12-31,113.75
2026-05-08,Villamos,2028. év,Zsinór,2028-01-01,2028-12-31,97.0
2026-05-08,Villamos,2029. év,Zsinór,2029-01-01,2029-12-31,88.1
2026-05-11,Villamos,2026. IV. negyedév,Zsinór,2026-10-01,2026-12-31,142.75
2026-05-11,Villamos,2027. I. negyedév,Zsinór,2027-01-01,2027-03-31,136.5
2026-05-11,Villamos,2027. év,Zsinór,2027-01-01,2027-12-31,115.0
2026-05-11,Villamos,2028. év,Zsinór,2028-01-01,2028-12-31,98.0
2026-05-11,Villamos,2029. év,Zsinór,2029-01-01,2029-12-31,88.75
2026-05-12,Villamos,2026. IV. negyedév,Zsinór,2026-10-01,2026-12-31,144.5
2026-05-12,Villamos,2027. I. negyedév,Zsinór,2027-01-01,2027-03-31,137.0
2026-05-12,Villamos,2027. év,Zsinór,2027-01-01,2027-12-31,114.5
2026-05-12,Villamos,2028. év,Zsinór,2028-01-01,2028-12-31,97.5
2026-05-12,Villamos,2029. év,Zsinór,2029-01-01,2029-12-31,88.5
2026-05-13,Villamos,2026. IV. negyedév,Zsinór,2026-10-01,2026-12-31,142.5
2026-05-13,Villamos,2027. I. negyedév,Zsinór,2027-01-01,2027-03-31,136.0
2026-05-13,Villamos,2027. év,Zsinór,2027-01-01,2027-12-31,114.0
2026-05-13,Villamos,2028. év,Zsinór,2028-01-01,2028-12-31,97.25
2026-05-13,Villamos,2029. év,Zsinór,2029-01-01,2029-12-31,87.75
2026-05-14,Villamos,2026. IV. negyedév,Zsinór,2026-10-01,2026-12-31,143.5
2026-05-14,Villamos,2027. I. negyedév,Zsinór,2027-01-01,2027-03-31,137.0
2026-05-14,Villamos,2027. év,Zsinór,2027-01-01,2027-12-31,114.0
2026-05-14,Villamos,2028. év,Zsinór,2028-01-01,2028-12-31,98.0
2026-05-14,Villamos,2029. év,Zsinór,2029-01-01,2029-12-31,87.5
2026-05-15,Villamos,2026. IV. negyedév,Zsinór,2026-10-01,2026-12-31,145.5
2026-05-15,Villamos,2027. I. negyedév,Zsinór,2027-01-01,2027-03-31,137.5
2026-05-15,Villamos,2027. év,Zsinór,2027-01-01,2027-12-31,114.5
2026-05-15,Villamos,2028. év,Zsinór,2028-01-01,2028-12-31,97.5
2026-05-15,Villamos,2029. év,Zsinór,2029-01-01,2029-12-31,88.5
2026-05-18,Villamos,2026. IV. negyedév,Zsinór,2026-10-01,2026-12-31,149.1
2026-05-18,Villamos,2027. I. negyedév,Zsinór,2027-01-01,2027-03-31,141.0
2026-05-18,Villamos,2027. év,Zsinór,2027-01-01,2027-12-31,116.2
2026-05-18,Villamos,2028. év,Zsinór,2028-01-01,2028-12-31,98.5
2026-05-18,Villamos,2029. év,Zsinór,2029-01-01,2029-12-31,89.5
2026-05-19,Villamos,2026. IV. negyedév,Zsinór,2026-10-01,2026-12-31,149.0
2026-05-19,Villamos,2027. I. negyedév,Zsinór,2027-01-01,2027-03-31,140.0
2026-05-19,Villamos,2027. év,Zsinór,2027-01-01,2027-12-31,115.5
2026-05-19,Villamos,2028. év,Zsinór,2028-01-01,2028-12-31,97.5
2026-05-19,Villamos,2029. év,Zsinór,2029-01-01,2029-12-31,89.0
2026-05-20,Villamos,2026. IV. negyedév,Zsinór,2026-10-01,2026-12-31,149.0
2026-05-20,Villamos,2027. I. negyedév,Zsinór,2027-01-01,2027-03-31,140.5
2026-05-20,Villamos,2027. év,Zsinór,2027-01-01,2027-12-31,115.75
2026-05-20,Villamos,2028. év,Zsinór,2028-01-01,2028-12-31,97.5
2026-05-20,Villamos,2029. év,Zsinór,2029-01-01,2029-12-31,89.0
2026-05-21,Villamos,2026. IV. negyedév,Zsinór,2026-10-01,2026-12-31,147.5
2026-05-21,Villamos,2027. I. negyedév,Zsinór,2027-01-01,2027-03-31,139.25
2026-05-21,Villamos,2027. év,Zsinór,2027-01-01,2027-12-31,114.5
2026-05-21,Villamos,2028. év,Zsinór,2028-01-01,2028-12-31,96.25
2026-05-21,Villamos,2029. év,Zsinór,2029-01-01,2029-12-31,88.5
2026-05-22,Villamos,2026. IV. negyedév,Zsinór,2026-10-01,2026-12-31,146.0
2026-05-22,Villamos,2027. I. negyedév,Zsinór,2027-01-01,2027-03-31,137.25
2026-05-22,Villamos,2027. év,Zsinór,2027-01-01,2027-12-31,113.5
2026-05-22,Villamos,2028. év,Zsinór,2028-01-01,2028-12-31,96.5
2026-05-22,Villamos,2029. év,Zsinór,2029-01-01,2029-12-31,88.25
2026-05-26,Villamos,2026. IV. negyedév,Zsinór,2026-10-01,2026-12-31,147.6
2026-05-26,Villamos,2027. I. negyedév,Zsinór,2027-01-01,2027-03-31,137.0
2026-05-26,Villamos,2027. év,Zsinór,2027-01-01,2027-12-31,114.2
2026-05-26,Villamos,2028. év,Zsinór,2028-01-01,2028-12-31,97.5
2026-05-26,Villamos,2029. év,Zsinór,2029-01-01,2029-12-31,89.1
2026-05-27,Villamos,2026. IV. negyedév,Zsinór,2026-10-01,2026-12-31,143.0
2026-05-27,Villamos,2027. I. negyedév,Zsinór,2027-01-01,2027-03-31,135.5
2026-05-27,Villamos,2027. év,Zsinór,2027-01-01,2027-12-31,113.5
2026-05-27,Villamos,2028. év,Zsinór,2028-01-01,2028-12-31,97.0
2026-05-27,Villamos,2029. év,Zsinór,2029-01-01,2029-12-31,88.5
2026-05-28,Villamos,2026. IV. negyedév,Zsinór,2026-10-01,2026-12-31,146.0
2026-05-28,Villamos,2027. I. negyedév,Zsinór,2027-01-01,2027-03-31,138.5
2026-05-28,Villamos,2027. év,Zsinór,2027-01-01,2027-12-31,115.25
2026-05-28,Villamos,2028. év,Zsinór,2028-01-01,2028-12-31,97.75
2026-05-28,Villamos,2029. év,Zsinór,2029-01-01,2029-12-31,89.5
2026-05-29,Villamos,2026. IV. negyedév,Zsinór,2026-10-01,2026-12-31,145.6
2026-05-29,Villamos,2027. I. negyedév,Zsinór,2027-01-01,2027-03-31,139.8
2026-05-29,Villamos,2027. év,Zsinór,2027-01-01,2027-12-31,114.8
2026-05-29,Villamos,2028. év,Zsinór,2028-01-01,2028-12-31,98.5
2026-05-29,Villamos,2029. év,Zsinór,2029-01-01,2029-12-31,90.9
2026-06-01,Villamos,2026. IV. negyedév,Zsinór,2026-10-01,2026-12-31,144.25
2026-06-01,Villamos,2027. I. negyedév,Zsinór,2027-01-01,2027-03-31,138.0
2026-06-01,Villamos,2027. év,Zsinór,2027-01-01,2027-12-31,115.25
2026-06-01,Villamos,2028. év,Zsinór,2028-01-01,2028-12-31,98.0
2026-06-01,Villamos,2029. év,Zsinór,2029-01-01,2029-12-31,84.0
2026-06-02,Villamos,2026. szeptember,Zsinór,2026-09-01,2026-09-30,134.2
2026-06-02,Villamos,2026. IV. negyedév,Zsinór,2026-10-01,2026-12-31,145.5
2026-06-02,Villamos,2027. I. negyedév,Zsinór,2027-01-01,2027-03-31,137.9
2026-06-02,Villamos,2027. év,Zsinór,2027-01-01,2027-12-31,114.4
2026-06-02,Villamos,2028. év,Zsinór,2028-01-01,2028-12-31,98.3
2026-06-02,Villamos,2029. év,Zsinór,2029-01-01,2029-12-31,84.2
2026-06-03,Villamos,2026. szeptember,Zsinór,2026-09-01,2026-09-30,137.7
2026-06-03,Villamos,2026. IV. negyedév,Zsinór,2026-10-01,2026-12-31,149.2
2026-06-03,Villamos,2027. I. negyedév,Zsinór,2027-01-01,2027-03-31,141.2
2026-06-03,Villamos,2027. év,Zsinór,2027-01-01,2027-12-31,116.4
2026-06-03,Villamos,2028. év,Zsinór,2028-01-01,2028-12-31,99.3
2026-06-03,Villamos,2029. év,Zsinór,2029-01-01,2029-12-31,92.2
2026-06-04,Villamos,2026. szeptember,Zsinór,2026-09-01,2026-09-30,137.75
2026-06-04,Villamos,2026. IV. negyedév,Zsinór,2026-10-01,2026-12-31,146.25
2026-06-04,Villamos,2027. I. negyedév,Zsinór,2027-01-01,2027-03-31,140.25
2026-06-04,Villamos,2027. év,Zsinór,2027-01-01,2027-12-31,114.85
2026-06-04,Villamos,2028. év,Zsinór,2028-01-01,2028-12-31,97.75
2026-06-04,Villamos,2029. év,Zsinór,2029-01-01,2029-12-31,91.0
2026-06-05,Villamos,2026. szeptember,Zsinór,2026-09-01,2026-09-30,136.0
2026-06-05,Villamos,2026. IV. negyedév,Zsinór,2026-10-01,2026-12-31,147.0
2026-06-05,Villamos,2027. I. negyedév,Zsinór,2027-01-01,2027-03-31,138.25
2026-06-05,Villamos,2027. év,Zsinór,2027-01-01,2027-12-31,115.0
2026-06-05,Villamos,2028. év,Zsinór,2028-01-01,2028-12-31,97.5
2026-06-05,Villamos,2029. év,Zsinór,2029-01-01,2029-12-31,91.0
2026-06-08,Villamos,2026. szeptember,Zsinór,2026-09-01,2026-09-30,134.6
2026-06-08,Villamos,2026. IV. negyedév,Zsinór,2026-10-01,2026-12-31,148.5
2026-06-08,Villamos,2027. I. negyedév,Zsinór,2027-01-01,2027-03-31,139.4
2026-06-08,Villamos,2027. év,Zsinór,2027-01-01,2027-12-31,115.0
2026-06-08,Villamos,2028. év,Zsinór,2028-01-01,2028-12-31,98.0
2026-06-08,Villamos,2029. év,Zsinór,2029-01-01,2029-12-31,90.0
2026-06-09,Villamos,2026. szeptember,Zsinór,2026-09-01,2026-09-30,133.2
2026-06-09,Villamos,2026. IV. negyedév,Zsinór,2026-10-01,2026-12-31,148.4
2026-06-09,Villamos,2027. I. negyedév,Zsinór,2027-01-01,2027-03-31,139.0
2026-06-09,Villamos,2027. év,Zsinór,2027-01-01,2027-12-31,115.0
2026-06-09,Villamos,2028. év,Zsinór,2028-01-01,2028-12-31,97.2
2026-06-09,Villamos,2029. év,Zsinór,2029-01-01,2029-12-31,89.2
2026-06-10,Villamos,2026. szeptember,Zsinór,2026-09-01,2026-09-30,133.5
2026-06-10,Villamos,2026. IV. negyedév,Zsinór,2026-10-01,2026-12-31,148.25
2026-06-10,Villamos,2027. I. negyedév,Zsinór,2027-01-01,2027-03-31,140.5
2026-06-10,Villamos,2027. év,Zsinór,2027-01-01,2027-12-31,115.0
2026-06-10,Villamos,2028. év,Zsinór,2028-01-01,2028-12-31,98.0
2026-06-10,Villamos,2029. év,Zsinór,2029-01-01,2029-12-31,88.75
2026-06-11,Villamos,2026. szeptember,Zsinór,2026-09-01,2026-09-30,135.0
2026-06-11,Villamos,2026. IV. negyedév,Zsinór,2026-10-01,2026-12-31,149.25
2026-06-11,Villamos,2027. I. negyedév,Zsinór,2027-01-01,2027-03-31,141.0
2026-06-11,Villamos,2027. év,Zsinór,2027-01-01,2027-12-31,115.75
2026-06-11,Villamos,2028. év,Zsinór,2028-01-01,2028-12-31,97.5
2026-06-11,Villamos,2029. év,Zsinór,2029-01-01,2029-12-31,88.5
2026-06-12,Villamos,2026. szeptember,Zsinór,2026-09-01,2026-09-30,129.0
2026-06-12,Villamos,2026. IV. negyedév,Zsinór,2026-10-01,2026-12-31,144.0
2026-06-12,Villamos,2027. I. negyedév,Zsinór,2027-01-01,2027-03-31,141.0
2026-06-12,Villamos,2027. év,Zsinór,2027-01-01,2027-12-31,114.5
2026-06-12,Villamos,2028. év,Zsinór,2028-01-01,2028-12-31,97.5
2026-06-12,Villamos,2029. év,Zsinór,2029-01-01,2029-12-31,89.5
2026-06-15,Villamos,2026. szeptember,Zsinór,2026-09-01,2026-09-30,126.9
2026-06-15,Villamos,2026. IV. negyedév,Zsinór,2026-10-01,2026-12-31,141.5
2026-06-15,Villamos,2027. I. negyedév,Zsinór,2027-01-01,2027-03-31,135.8
2026-06-15,Villamos,2027. év,Zsinór,2027-01-01,2027-12-31,113.2
2026-06-15,Villamos,2028. év,Zsinór,2028-01-01,2028-12-31,96.7
2026-06-15,Villamos,2029. év,Zsinór,2029-01-01,2029-12-31,90.6
2026-06-16,Villamos,2026. szeptember,Zsinór,2026-09-01,2026-09-30,126.0
2026-06-16,Villamos,2026. IV. negyedév,Zsinór,2026-10-01,2026-12-31,140.0
2026-06-16,Villamos,2027. I. negyedév,Zsinór,2027-01-01,2027-03-31,134.0
2026-06-16,Villamos,2027. év,Zsinór,2027-01-01,2027-12-31,112.85
2026-06-16,Villamos,2028. év,Zsinór,2028-01-01,2028-12-31,96.75
2026-06-16,Villamos,2029. év,Zsinór,2029-01-01,2029-12-31,89.35
2026-06-17,Villamos,2026. szeptember,Zsinór,2026-09-01,2026-09-30,131.5
2026-06-17,Villamos,2026. IV. negyedév,Zsinór,2026-10-01,2026-12-31,138.5
2026-06-17,Villamos,2027. I. negyedév,Zsinór,2027-01-01,2027-03-31,133.25
2026-06-17,Villamos,2027. év,Zsinór,2027-01-01,2027-12-31,112.75
2026-06-17,Villamos,2028. év,Zsinór,2028-01-01,2028-12-31,97.1
2026-06-17,Villamos,2029. év,Zsinór,2029-01-01,2029-12-31,89.25
2026-06-18,Villamos,2026. szeptember,Zsinór,2026-09-01,2026-09-30,127.0
2026-06-18,Villamos,2026. IV. negyedév,Zsinór,2026-10-01,2026-12-31,139.0
2026-06-18,Villamos,2027. I. negyedév,Zsinór,2027-01-01,2027-03-31,133.0
2026-06-18,Villamos,2027. év,Zsinór,2027-01-01,2027-12-31,112.25
2026-06-18,Villamos,2028. év,Zsinór,2028-01-01,2028-12-31,97.5
2026-06-18,Villamos,2029. év,Zsinór,2029-01-01,2029-12-31,89.0
2026-06-19,Villamos,2026. szeptember,Zsinór,2026-09-01,2026-09-30,127.0
2026-06-19,Villamos,2026. IV. negyedév,Zsinór,2026-10-01,2026-12-31,140.6
2026-06-19,Villamos,2027. I. negyedév,Zsinór,2027-01-01,2027-03-31,133.0
2026-06-19,Villamos,2027. év,Zsinór,2027-01-01,2027-12-31,112.5
2026-06-19,Villamos,2028. év,Zsinór,2028-01-01,2028-12-31,97.5
2026-06-19,Villamos,2029. év,Zsinór,2029-01-01,2029-12-31,89.0
2026-06-22,Villamos,2026. szeptember,Zsinór,2026-09-01,2026-09-30,131.25
2026-06-22,Villamos,2026. IV. negyedév,Zsinór,2026-10-01,2026-12-31,139.85
2026-06-22,Villamos,2027. I. negyedév,Zsinór,2027-01-01,2027-03-31,133.7
2026-06-22,Villamos,2027. év,Zsinór,2027-01-01,2027-12-31,112.85
2026-06-22,Villamos,2028. év,Zsinór,2028-01-01,2028-12-31,98.5
2026-06-22,Villamos,2029. év,Zsinór,2029-01-01,2029-12-31,91.5
2026-06-23,Villamos,2026. szeptember,Zsinór,2026-09-01,2026-09-30,129.0
2026-06-23,Villamos,2026. IV. negyedév,Zsinór,2026-10-01,2026-12-31,139.5
2026-06-23,Villamos,2027. I. negyedév,Zsinór,2027-01-01,2027-03-31,132.65
2026-06-23,Villamos,2027. év,Zsinór,2027-01-01,2027-12-31,113.0
2026-06-23,Villamos,2028. év,Zsinór,2028-01-01,2028-12-31,98.0
2026-06-23,Villamos,2029. év,Zsinór,2029-01-01,2029-12-31,91.25
2026-06-24,Villamos,2026. szeptember,Zsinór,2026-09-01,2026-09-30,129.7
2026-06-24,Villamos,2026. IV. negyedév,Zsinór,2026-10-01,2026-12-31,139.9
2026-06-24,Villamos,2027. I. negyedév,Zsinór,2027-01-01,2027-03-31,133.0
2026-06-24,Villamos,2027. év,Zsinór,2027-01-01,2027-12-31,113.0
2026-06-24,Villamos,2028. év,Zsinór,2028-01-01,2028-12-31,98.1
2026-06-24,Villamos,2029. év,Zsinór,2029-01-01,2029-12-31,90.5
2026-06-25,Villamos,2026. szeptember,Zsinór,2026-09-01,2026-09-30,128.0
2026-06-25,Villamos,2026. IV. negyedév,Zsinór,2026-10-01,2026-12-31,138.5
2026-06-25,Villamos,2027. I. negyedév,Zsinór,2027-01-01,2027-03-31,132.25
2026-06-25,Villamos,2027. év,Zsinór,2027-01-01,2027-12-31,112.85
2026-06-25,Villamos,2028. év,Zsinór,2028-01-01,2028-12-31,98.5
2026-06-25,Villamos,2029. év,Zsinór,2029-01-01,2029-12-31,90.5
2026-06-26,Villamos,2026. szeptember,Zsinór,2026-09-01,2026-09-30,128.0
2026-06-26,Villamos,2026. IV. negyedév,Zsinór,2026-10-01,2026-12-31,137.5
2026-06-26,Villamos,2027. I. negyedév,Zsinór,2027-01-01,2027-03-31,131.5
2026-06-26,Villamos,2027. év,Zsinór,2027-01-01,2027-12-31,111.65
2026-06-26,Villamos,2028. év,Zsinór,2028-01-01,2028-12-31,97.75
2026-06-26,Villamos,2029. év,Zsinór,2029-01-01,2029-12-31,90.0
2026-07-02,Villamos,2026. szeptember,Zsinór,2026-09-01,2026-09-30,134.0
2026-07-02,Villamos,2026. október,Zsinór,2026-10-01,2026-10-31,133.5
2026-07-02,Villamos,2026. IV. negyedév,Zsinór,2026-10-01,2026-12-31,142.75
2026-07-02,Villamos,2027. I. negyedév,Zsinór,2027-01-01,2027-03-31,135.5
2026-07-02,Villamos,2027. év,Zsinór,2027-01-01,2027-12-31,113.75
2026-07-02,Villamos,2027. II. negyedév,Zsinór,2027-04-01,2027-06-30,91.5
2026-07-02,Villamos,2028. év,Zsinór,2028-01-01,2028-12-31,97.5
2026-07-02,Villamos,2029. év,Zsinór,2029-01-01,2029-12-31,89.25
2026-07-03,Villamos,2026. szeptember,Zsinór,2026-09-01,2026-09-30,135.5
2026-07-03,Villamos,2026. október,Zsinór,2026-10-01,2026-10-31,135.0
2026-07-03,Villamos,2026. IV. negyedév,Zsinór,2026-10-01,2026-12-31,144.0
2026-07-03,Villamos,2027. I. negyedév,Zsinór,2027-01-01,2027-03-31,136.25
2026-07-03,Villamos,2027. év,Zsinór,2027-01-01,2027-12-31,113.5
2026-07-03,Villamos,2027. II. negyedév,Zsinór,2027-04-01,2027-06-30,91.0
2026-07-03,Villamos,2028. év,Zsinór,2028-01-01,2028-12-31,98.0
2026-07-03,Villamos,2029. év,Zsinór,2029-01-01,2029-12-31,90.35
2026-07-06,Villamos,2026. szeptember,Zsinór,2026-09-01,2026-09-30,134.0
2026-07-06,Villamos,2026. október,Zsinór,2026-10-01,2026-10-31,136.0
2026-07-06,Villamos,2026. IV. negyedév,Zsinór,2026-10-01,2026-12-31,144.0
2026-07-06,Villamos,2027. I. negyedév,Zsinór,2027-01-01,2027-03-31,136.25
2026-07-06,Villamos,2027. év,Zsinór,2027-01-01,2027-12-31,114.25
2026-07-06,Villamos,2027. II. negyedév,Zsinór,2027-04-01,2027-06-30,92.0
2026-07-06,Villamos,2028. év,Zsinór,2028-01-01,2028-12-31,99.0
2026-07-06,Villamos,2029. év,Zsinór,2029-01-01,2029-12-31,90.25
2026-07-07,Villamos,2026. szeptember,Zsinór,2026-09-01,2026-09-30,136.25
2026-07-07,Villamos,2026. október,Zsinór,2026-10-01,2026-10-31,138.0
2026-07-07,Villamos,2026. IV. negyedév,Zsinór,2026-10-01,2026-12-31,146.0
2026-07-07,Villamos,2027. I. negyedév,Zsinór,2027-01-01,2027-03-31,138.5
2026-07-07,Villamos,2027. év,Zsinór,2027-01-01,2027-12-31,115.0
2026-07-07,Villamos,2027. II. negyedév,Zsinór,2027-04-01,2027-06-30,93.0
2026-07-07,Villamos,2028. év,Zsinór,2028-01-01,2028-12-31,99.5
2026-07-07,Villamos,2029. év,Zsinór,2029-01-01,2029-12-31,91.0
2026-07-08,Villamos,2026. szeptember,Zsinór,2026-09-01,2026-09-30,142.6
2026-07-08,Villamos,2026. október,Zsinór,2026-10-01,2026-10-31,140.1
2026-07-08,Villamos,2026. IV. negyedév,Zsinór,2026-10-01,2026-12-31,151.5
2026-07-08,Villamos,2027. I. negyedév,Zsinór,2027-01-01,2027-03-31,143.0
2026-07-08,Villamos,2027. év,Zsinór,2027-01-01,2027-12-31,117.1
2026-07-08,Villamos,2027. II. negyedév,Zsinór,2027-04-01,2027-06-30,94.0
2026-07-08,Villamos,2028. év,Zsinór,2028-01-01,2028-12-31,99.6
2026-07-08,Villamos,2029. év,Zsinór,2029-01-01,2029-12-31,91.3
2026-07-09,Villamos,2026. szeptember,Zsinór,2026-09-01,2026-09-30,143.0
2026-07-09,Villamos,2026. október,Zsinór,2026-10-01,2026-10-31,143.65
2026-07-09,Villamos,2026. IV. negyedév,Zsinór,2026-10-01,2026-12-31,151.0
2026-07-09,Villamos,2027. I. negyedév,Zsinór,2027-01-01,2027-03-31,143.0
2026-07-09,Villamos,2027. év,Zsinór,2027-01-01,2027-12-31,117.75
2026-07-09,Villamos,2027. II. negyedév,Zsinór,2027-04-01,2027-06-30,94.75
2026-07-09,Villamos,2028. év,Zsinór,2028-01-01,2028-12-31,99.5
2026-07-09,Villamos,2029. év,Zsinór,2029-01-01,2029-12-31,91.5
2026-07-10,Villamos,2026. szeptember,Zsinór,2026-09-01,2026-09-30,143.0
2026-07-10,Villamos,2026. október,Zsinór,2026-10-01,2026-10-31,145.0
2026-07-10,Villamos,2026. IV. negyedév,Zsinór,2026-10-01,2026-12-31,150.0
2026-07-10,Villamos,2027. I. negyedév,Zsinór,2027-01-01,2027-03-31,142.0
2026-07-10,Villamos,2027. év,Zsinór,2027-01-01,2027-12-31,117.85
2026-07-10,Villamos,2027. II. negyedév,Zsinór,2027-04-01,2027-06-30,96.75
2026-07-10,Villamos,2028. év,Zsinór,2028-01-01,2028-12-31,100.0
2026-07-10,Villamos,2029. év,Zsinór,2029-01-01,2029-12-31,92.0
2026-07-13,Villamos,2026. szeptember,Zsinór,2026-09-01,2026-09-30,146.9
2026-07-13,Villamos,2026. október,Zsinór,2026-10-01,2026-10-31,148.1
2026-07-13,Villamos,2026. IV. negyedév,Zsinór,2026-10-01,2026-12-31,153.25
2026-07-13,Villamos,2027. I. negyedév,Zsinór,2027-01-01,2027-03-31,144.0
2026-07-13,Villamos,2027. év,Zsinór,2027-01-01,2027-12-31,119.5
2026-07-13,Villamos,2027. II. negyedév,Zsinór,2027-04-01,2027-06-30,98.3
2026-07-13,Villamos,2028. év,Zsinór,2028-01-01,2028-12-31,102.0
2026-07-13,Villamos,2029. év,Zsinór,2029-01-01,2029-12-31,93.0
2026-07-14,Villamos,2026. szeptember,Zsinór,2026-09-01,2026-09-30,151.4
2026-07-14,Villamos,2026. október,Zsinór,2026-10-01,2026-10-31,151.7
2026-07-14,Villamos,2026. IV. negyedév,Zsinór,2026-10-01,2026-12-31,158.0
2026-07-14,Villamos,2027. I. negyedév,Zsinór,2027-01-01,2027-03-31,149.0
2026-07-14,Villamos,2027. év,Zsinór,2027-01-01,2027-12-31,123.0
2026-07-14,Villamos,2027. II. negyedév,Zsinór,2027-04-01,2027-06-30,101.9
2026-07-14,Villamos,2028. év,Zsinór,2028-01-01,2028-12-31,101.25
2026-07-14,Villamos,2029. év,Zsinór,2029-01-01,2029-12-31,93.2
2026-07-15,Villamos,2026. szeptember,Zsinór,2026-09-01,2026-09-30,153.75
2026-07-15,Villamos,2026. október,Zsinór,2026-10-01,2026-10-31,153.25
2026-07-15,Villamos,2026. IV. negyedév,Zsinór,2026-10-01,2026-12-31,160.25
2026-07-15,Villamos,2027. I. negyedév,Zsinór,2027-01-01,2027-03-31,152.0
2026-07-15,Villamos,2027. év,Zsinór,2027-01-01,2027-12-31,125.0
2026-07-15,Villamos,2027. II. negyedév,Zsinór,2027-04-01,2027-06-30,103.5
2026-07-15,Villamos,2028. év,Zsinór,2028-01-01,2028-12-31,102.0
2026-07-15,Villamos,2029. év,Zsinór,2029-01-01,2029-12-31,93.0
2026-07-16,Villamos,2026. szeptember,Zsinór,2026-09-01,2026-09-30,154.0
2026-07-16,Villamos,2026. október,Zsinór,2026-10-01,2026-10-31,153.0
2026-07-16,Villamos,2026. IV. negyedév,Zsinór,2026-10-01,2026-12-31,159.0
2026-07-16,Villamos,2027. I. negyedév,Zsinór,2027-01-01,2027-03-31,151.0
2026-07-16,Villamos,2027. év,Zsinór,2027-01-01,2027-12-31,124.0
2026-07-16,Villamos,2027. II. negyedév,Zsinór,2027-04-01,2027-06-30,102.65
2026-07-16,Villamos,2028. év,Zsinór,2028-01-01,2028-12-31,101.15
2026-07-16,Villamos,2029. év,Zsinór,2029-01-01,2029-12-31,93.0
2026-07-17,Villamos,2026. szeptember,Zsinór,2026-09-01,2026-09-30,160.0
